Product ID,Name,Supplier ID,Supplier Name,Manufacturer ID,Maufacturer Name,Active
4717,Damaschito 2015 - DOC Aglianico del Vulture Biologico - Grifalco,34,Grifalco,34,Grifalco,1
4718,Le Braci 2013 - Salento Rosso IGT - Garofano Vigneti e Cantine,30,Severino Garofano azienda Monaci,29, Garofano Vigneti e Cantine,1
4719,Sardo 2018 - Vermentino di Sardegna Doc - Tenute Soletta,22,Tenute Soletta,4,Tenute Soletta,1
4720,Chimera 2018 - Vermentino di Sardegna DOC - Tenute Soletta,22,Tenute Soletta,4,Tenute Soletta,1
4721,Sardo 2016 - Cannonau di Sardegna DOC - Tenute Soletta,22,Tenute Soletta,4,Tenute Soletta,1
4722,Corona Majore Riserva 2015 - Cannonau di Sardegna DOC - Tenute Soletta,22,Tenute Soletta,4,Tenute Soletta,1
4724,Montevetrano 2017 - Colli di Salerno IGT,15,Azienda Agricola Montevetrano,21,Azienda Agricola Montevetrano,1
4725,Castello Ginori 2016 - Igt Toscana Rosso - Marchesi Ginori Lisci,12,Marchesi Ginori Lisci,18,Marchesi Ginori Lisci,1
4726,Poderi Novi 2016 - IGT Costa Toscana Syrah - Marchesi Ginori Lisci,12,Marchesi Ginori Lisci,18,Marchesi Ginori Lisci,1
4728,Poggio Valente 2017 - IGT Toscana Rosso - Fattoria Le Pupille,76,Fattoria Le Pupille,77,Fattoria Le Pupille,1
4729,Valpolicella Ripasso DOC Superiore 2017 - Gran Lombardo - Bonfanti Vini,44,Bonfanti,43,Bonfanti Vini,1
4730,L'Atto 2018 - Basilicata IGT Rosso - Cantine del Notaio,38,Cantine del Notaio,38,Cantine del Notaio,1
4731,Il Preliminare 2018 - Basilicata IGT Bianco - Cantine del Notaio,38,Cantine del Notaio,38,Cantine del Notaio,1
4732,Il Repertorio 2017 - Aglianico del Vulture DOC Rosso - Cantine del Notaio,38,Cantine del Notaio,38,Cantine del Notaio,1
4734,Sorì di Giul 2015 - Freisa d'Asti DOC Superiore - Tenuta Santa Caterina,45,Tenuta Santa Caterina,44,Tenuta Santa Caterina,1
4735,La Canna e l'Orzo - Metodo Classico Bianco - Ghio Vini,95,Ghio Vini,113,Ghio Vini,1
4736,S'Arai 2016,16,Pala,13,Pala,1
4737,Vigna degli Apostoli Sassella 2013 - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4738,Cassetta Le Braci annate storiche 2010 - 2011- 2013 di Garofano Vigneti e Cantine,30,Severino Garofano azienda Monaci,29, Garofano Vigneti e Cantine,1
4739,Inferno Riserva 2016 - Valtellina Superiore DOCG - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4740,"Il Mattaglio Blanc de Noirs Riserva 2011 Magnum 1,5 L - Cantina Della Volta",51,Cantina della Volta,50,Cantina della Volta,1
4741,Zapel 2019  - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4742,Rosso Nebbiolo 2018 - Alpi Retiche IGT - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4743,"Rosso Nebbiolo 2018 Magnum 1,5 L - Alpi Retiche IGT - Rainoldi",57,Rainoldi,56,Rainoldi ,1
4744,Grumello 2017 - Valtellina Superiore DOCG - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4746,Sassella Riserva 2015 Magnum 3L - Valtellina Superiore DOCG - Rainoldi,57,Rainoldi,56,Rainoldi ,1
4747,"Vigna degli Apostoli 2013 Magnum 1,5L - Sassella DOCG - Rainoldi",57,Rainoldi,56,Rainoldi ,1
